text,label
new mOvIE staRRinG TOM CRUisE GOT miXeD rEVIEWS BuT bOX ofFIce sTiLL HuGe,entertainment
tHe footbAlL MatcH BETwEEN lAKErS and InDia was INtense WItH fANs ShoutIng loL 😂🔥,sports
aWard CEREMoNy wAs bOring Smh onLy hiGhliGhT WAs KANYE OUtfIT🔥,entertainment
trIEd tHe nEw idlI samBar YeSTERDay OmG It wAS soOo GOOd 💯 But A biT too SPICy,food
NEw MoVie stARrINg tom cRUISE GoT mIxED ReviEws but boX oFFICe stILl hUGe,entertainment
tHe footbalL MATCH BEtWEen indIA aNd indiA WaS intensE wiTH FaNs ShOUtInG Lol 😂🔥,sports
ELECtiOns resULTS sHOWeD conGrESS WINnINg bUt MaNY Ppl SaId cORrUPTIOn!!😎,politics
softWare uPDAte hAD BUgZZZ AGAin 😂 USerS On twitTer maD🙄,tech
coDiNg LiFe IS tOugH SmH idk whY this lApTop stILl CRaShEs...,tech
award CeReMony WaS BoRING SmH Only higHLIGHt waS rIhANnA OuTfit 🤔,entertainment
Debate In pArLiAmENT waS NOISy aF loL wITh SuNaK shoutIng again💯,politics
coding life is toUgH sMh IDK Why tHiS lAptoP sTilL Crashes...~~~,tech
Fans ArE dEbatinG If CHeLSEA deseRVEd ThE 🏆 tItle This SEaSON or nAh??,sports
ppl sAy GovT SpenDiNg Too Much on hEalThCAre instEAd Of sPoRtS N HeAlThCaRE Smh,politics
trIed tHe NEW biRYAnI yEsterDAy OMG it WAs soOo GooD 💯 bUt A biT too SpICY🔥,food
sofTwARe UPDAtE HAD bugZzz Again 😂 uSers oN tWItTEr MAd,tech
cRiCKeT commENtaRy FeLT BiaSED smh but sTiLL wHatta GamE BY roNALdo,sports
AwARD cERemONy wAS bOrIng Smh onLy HigHliGHT WaS KANye Outfit,entertainment
kOhLI ScOrEd A LASt MiNUte GOal!!! pPl WENT crazy IN the StaDIUM 🤔,sports
NeW mOvIE stARRIng tOm cruisE goT MIxed REVIeWs buT BOx offICe sTill HUGE 😂,entertainment
FaNs ARE dEBATinG IF iNdia DeSerVED THe 🏆 tiTle ThiS SEasOn or Nah??,sports
sOftWarE UpDAte hAD bugZZz AgaiN 😂 users oN twittEr maD,tech
dEBAtE In pArLiaMENt WAs nOISy af loL witH biDEN shOUtIng AGAin😎,politics
criCKEt cOMMEnTaRy feLT BIASED sMh buT sTIll wHattA gAME By meSSi,sports
elECtIOns rEsults SHoWeD deMocRaTS winniNG BUT ManY pPl saiD coRRUPTIon!!😎,politics
dEbATE In parLIAMeNt waS noisY Af LOl WITH sUnaK sHoUTInG agaIN 😂,politics
COmedY sHoW oN Tv FELt SCrIpTED Af BUT crowd STIlL lAugHiNG 😂😎,entertainment
gOoGlE lAuNchEs NeW Ai moDEL BUT pPl COmpLAiN AbOut data PRIvAcY iSsueS 🤔😎,tech
aWaRd CERemONY Was boRinG SmH ONlY hiGHLIght wAS BTS ouTFIt???,entertainment
ThE PriMe MINisTeR AnnouNCeD NEW pOlICy ABoUt sPOrts bUT PPl ArgUE iT's JusT FaKe PRomISes 🤔🙄,politics
TRIED THe neW TacOs YESTerdAY OmG iT WAs SOOo GOOD 💯 BUt a BIT TOo sPIcy 🤔,food
dEBaTe in PaRLIaMent wAS noISy aF loL wiTH sUnAk ShOUtInG AgAiN,politics
CoMedy SHOw ON TV FElt scrIpTEd Af buT CROwd STIll LAugHINg 😂,entertainment
THE PRiME mInISTer annOUNced NEw POlicy abOUT SPORts BUT pPl ArguE IT's juSt fAke prOmIseS 🤔 😂,politics
ppL say gOVT sPendiNG too MuCH ON EdUcATiON insTeAD Of spoRTS N hEalthcaRe sMh💯,politics
roNaldo sCoreD A LASt mINute Goal!!! pPL WEnT CrAZy IN THE stADIUM,sports
made cURry WiTH pAneER AND it turnED OUt fIReee 🔥🔥🔥~~~,food
TRiEd tHE NEw BIryani YEstERdAY omG iT Was soOo goOD 💯 bUT A BiT tOO SPiCY,food
lEbRON SCOReD a LasT MiNuTe GOal!!! pPL wEnT CRAzY iN ThE sTadIUm~~~,sports
FaNS aRe DEbaTING if manu dESErved tHE 🏆 tITlE tHIs seASOn OR NAh?? 🤔~~~,sports
comeDy ShOw oN TV felT sCrIpTeD aF But CrowD sTiLL laUGHING 😂,entertainment
ElEcTionS resUlTs ShoWeD dEMocRAtS wInnING BUT maNy ppl SaiD cORruPtIoN!! 🤔,politics
AWArD CErEmony WAs boRiNG sMH OnlY hiGhliGht WAS btS ouTFit!!!,entertainment
debatiNG iF BuRger🍔 or BiRyaNi iS thE tRue KIng Of fooD fiGHt ME 😂,food
PPL SAY gOvt sPeNDiNg Too MUCH ON HeALtHCARE INSteaD oF SPOrTs n HeaLThCare smh,politics
CoDiNG LIfE iS TougH SMH idk why THIs LAptOP sTIlL CrASHEs...,tech
tHe foOtBaLl MaTch bEtweEN INDia AnD mANU Was INTenSE wIth FANS shOuTING LoL 😂🔥,sports
DEBATE iN PaRLIAmeNt wAS noiSY AF lOl with biDEN sHOUTinG AGaIn,politics
EleCTioNs rESultS ShoWEd Bjp WINNiNG bUT maNy pPl sAId cOrRupTiOn!!🙄,politics
ELectIOnS ResultS ShOwEd dEMoCRaTS wINnInG buT ManY ppL sAID CoRRuPTIon!!,politics
neW MoviE staRring deepIKA Got MiXeD ReVIeWs BUT bOX oFFIcE still HUGe,entertainment
fAnS ARE DeBatINg iF ausTralia DesERveD ThE 🏆 tItlE thIs SEaSOn Or nAH??....,sports
TrIEd THE New idLi SAMbar yesteRDAy OmG IT was sooo GoOd 💯 But A BIT TOO SPIcy🔥,food
AWArD cEremoNY WaS borING Smh oNly HigHLIGhT WAS Kanye oUtfIt,entertainment
thE prIme MiNIsteR ANnoUnCED neW POLicy ABOUT SpoRts bUt pPl arGUe It's JusT FAke PrOmIsEs 🤔!!!,politics
NetflIx ShoW AbOuT AI tReNDINg Rn Lol PPl bingE wATcHin ALL NighT,entertainment
crIcKET ComMeNTARY FelT biaseD smH but STILl wHAttA GAme by LebRoN,sports
sofTWARE upDatE hAD BugZzz AGAIN 😂 UserS ON TwiTtER mAd 🤔,tech
DebATE iN parliamEnt wAs noisY AF loL WiTh BIdeN sHoUtiNG agaiN,politics
sOFtWARE UPdATE hAD bugZZz aGaIn 😂 usERS on tWItTeR MaD,tech
eLEctiONS resuLtS sHOWed rEPubLIcans WINNing bUT MANy ppL said coRRuPtiON!!,politics
DEBATe IN paRliaMeNt was nOISY AF lol wItH moDi shOUTING agaIN,politics
ThE prIme MINISter AnNoUNCeD nEw PolIcY aboUT AI buT ppL ARgUE IT'S JuSt fAKe pRomises 🤔,politics
netFLiX SHOW abOuT educAtiOn tRENdINg rN lol ppl biNGe WATchiN all Night🙄,entertainment
TrieD the NEw tAcoS yEsTERDAy omg It WAS sooo GoOD 💯 buT A biT ToO sPicY😎,food
TrIEd THe NEw tAcOs YEsterDAY oMG It waS sOOo gooD 💯 but A Bit Too spICy,food
triEd THE nEW TaCOS YEsTErDAY omg It was Sooo GOOD 💯 bUT a BiT TOO sPICY😎,food
neTfliX show abOuT JObS TrendIng Rn lol pPL binge WAtcHiN AlL niGHt,entertainment
cRickEt comMENTAry feLt BiASeD smh but STill WhAtTa gamE BY cURRY,sports
ELECTIoNs ReSULts shoWeD RepUblIcanS wiNNiNG But mAny PPl SAid COrruPTION!! 🤔,politics
DEbATE iN PARLiamEnT waS nOisY AF LOL wIth SuNAk SHOuTiNG agaiN,politics
NetFlIX sHOw AbOut educAtION TrENDiNG RN LoL pPL BInGE WATcHIN AlL NIgHt 😂!!!,entertainment
trIed THE nEW PasTA YEsTerDAY OmG it Was sooO GOod 💯 BUT a Bit TOO spiCY,food
tRied The new IdLI samBAR YEsterDAY OmG It WaS SoOO gOoD 💯 bUT A BIT TOO SPicY,food
trIEd ThE NeW IDlI SaMBAr yESterdAy OMg It wAS Sooo gooD 💯 bUt A bit toO SpICY,food
cRICkEt COMmENtArY felt BIaSed sMH but StIll WHAtta GAme By LeBRoN 🤔,sports
sAmsUnG lauNChEs NEW Ai MOdeL buT ppL COmplAIn aBouT dATA prIVaCy iSsuEs 🤔😎,tech
COding lIfE IS tough sMh IDK WhY tHis laPtOP STiLL Crashes...,tech
cOmedy sHOw ON Tv fELt ScrIPTEd Af BUt cROwd STILL LAUGhiNG 😂,entertainment
ReStAURAnT NEAR nYc serveS pizZaAa 🍕 thaT tAStes bETter tHAn DOmInos loL,food
ELeCtiONs resUlts sHoWEd REpubLIcANS WInniNg But mANY ppl SaId CorrUPtiOn!!,politics
RoNaldo SCOreD A last mInuTE goAL!!! Ppl weNT CRaZY iN ThE sTaDiUm 😂,sports
tRiEd the NEw bIryAni yesterdAY OMg it wAS SoOo gOoD 💯 but A Bit TOo sPIcY,food
New MoviE starrInG SRK gOt mixeD REVieWS BUt bOX office sTiLL huge 🤔,entertainment
the PRIme mINIstER anNoUncED NeW poLiCY aBoUt jOBs BUT PPL aRgUE IT'S JuST fAkE pROmIsEs 🤔,politics
sAmSuNG lAUnCHES new aI modEL buT ppL cOMPLaIn ABoUt dAtA pRivacy iSSuES 🤔,tech
DEbaTInG IF BUrgER🍔 OR BIRYaNI Is ThE trUE KInG of FOOd fIGhT mE 😂,food
CODinG lIfe iS tOUgh sMh idk WHY THiS LaptOp StiLL cRAshES...💯,tech
CRicket CoMMEntAry felt BIAseD sMH BUT Still whatTa GAme BY CuRrY💯,sports
NeW moVie StArrINg DEEpIKa gOT MIxed REvIEWS bUT BoX oFfice STill hUGe???,entertainment
COdIng LiFe is TOUgH smH IDk Why thIs laPtOp stiLl CRaShEs...,tech
DEbaTIng If BURgEr🍔 OR BiRYANI is thE tRUE kINg Of FOoD FIghT ME 😂,food
CUrrY ScoREd a laSt minute goal!!! PPL WenT crazY IN the STadiUm,sports
tHe pRiMe minIStER aNnoUncED NEW POLICY aBOut eDucatION bUt Ppl ARGuE It's JUSt fAke ProMisES 🤔,politics
cODInG LifE is TOugH sMH iDK wHY THIs laptOP STill CRAShES...,tech
mAdE CUrRy wIth pAnEer AND iT TUrnED OUt FirEee 🔥🔥🔥!!!,food
sAMSUng LAUNchES NEw Ai MoDEL but pPL CoMplAIN aBOut DATA PRivacY iSsueS 🤔,tech
mADE cURrY wITh PANeEr aND It tURned OuT fiReee 🔥🔥🔥???,food
SOftWARe UpdatE hAD bugzzz aGain 😂 uSErs on TWIttER Mad,tech
pPl Say gOvT SPEnDiNG too Much on aI insTeAD of SporTs N hEAlTHcare smH....,politics
LatesT SMArTphOnE bY sAmSUng dropPED TodaY 🔥 witH Ai feATuReS BuT Battery SUckS lOL,tech
DebAtE iN ParliAmeNt wAS NOiSy Af loL wiTH bideN sHOutInG agAiN💯,politics
CoDING lIFE is TOUgh sMH IDK wHy tHis LaPTop sTILL CRAShEs... 😂,tech
NEw mOviE STarRiNG tom CRuiSe goT mIxed reVIEWS But BOx ofFICe STiLL huGe💯,entertainment
cRiCkEt comMEntarY fElT bIaSED smH But sTILL whATTa GamE By MeSSI,sports
DeBATInG if burGEr🍔 oR bIrYaNi IS THe trUe KInG oF FoOD figHT Me 😂,food
DeBAte IN PaRlIAMent WAs NoisY aF lOL WItH bIdEN ShOUTINg AgAIN🙄,politics
ThE FOOtbaLL mAtcH beTwEEN AUsTRaLIA AND InDia WAS InTeNsE WITh fans sHoutING Lol 😂🔥!!!,sports
SOFTwaRe updatE HAD bUgzZZ again 😂 UsERS ON TwiTTEr mAD 😂,tech
comeDy shOW oN TV fElT SCRiPTED af bUT CROWD sTILL LaUghiNg 😂🔥~~~,entertainment
AwARD ceReMoNy wAs boriNG SMh oNLy HigHLighT wAs RiHaNnA OutfiT,entertainment
tHE FoOtBaLL maTCH betWeEN mAnU aND chelSEA wAs IntENSE wItH fANS shoutING lOL 😂🔥🙄,sports
debAtinG IF bURgeR🍔 oR BiRyAnI Is ThE TRue KIng of Food fiGht Me 😂,food
FAns are DEBATING iF rEAl maDRID deSeRVed tHE 🏆 tItle THiS seAsON oR naH?? 😂,sports
aWArD CERemONy was borINg SMH OnLY HIghlIGhT WAs bTS OUtFit🙄,entertainment
dhoNi sCOreD a laST MInUTE GoAl!!! PpL wEnt CrAzY iN the sTADiuM,sports
TrIED The NEW pAsTa yesTerDaY OMg iT Was sooO goOD 💯 bUT A Bit too Spicy🙄,food
MADE curRy with chiCKEN And It TurNed OUt fiReeE 🔥🔥🔥,food
cRickET CoMmeNtArY FElT BIasED sMh bUt stIlL WHaTTA gAme by curRY 🤔,sports
REStaurANT nEar DElHI SErvES PizZaaA 🍕 tHAT tAStEs BetTEr tHan domINoS Lol,food
ResTAuRaNT Near NyC serVEs PIzzaAa 🍕 ThaT TaStes BEttEr thAn doMInOs LoL,food
LAteSt SmARTPHONE By APPLe DROppED TOday 🔥 with Ai fEAtUrES BuT BattErY sucKS lOl💯,tech
cRicKEt CoMMenTARY felT BiAsEd smh buT sTIlL WHattA gAme bY DhOnI🔥,sports
fans aRE deBAtiNG if MANU dEsERvED tHE 🏆 TitLe ThIs SEaSOn Or nAH??,sports
sOFTwaRe UPdATE haD BugZzz aGAiN 😂 useRs on twiTTER Mad!!!,tech
DEbATiNg If BUrgeR🍔 Or BirYaNI iS thE trUe kIng oF FooD FiGhT ME 😂....,food
ResTauraNT neaR mumBAi SErves piZZaAA 🍕 thaT TastES bETtEr ThAN DOMinos LoL,food
the PRime MINistEr ANnounCed NEW pOlIcY AbOUt HEALtHcarE bUT pPl ArGUE IT's jUst fAKE PrOmIsEs 🤔,politics
NeW MOVIe StARrinG DeePika goT MiXeD ReviEWs But Box offICE STiLl hUGe,entertainment
MiCRoSOFT laUncHEs New Ai modeL But peeps cOmPlaIn aboUt datA priVaCY IsSuES 🤔,tech
REStAurANt NEAr tokYO sErveS piZzAAa 🍕 that tasteS beTTEr THan dOmINOs LOL,food
lATEsT SmaRtPHONE BY MICROSOft DRoPPeD TodAY 🔥 with AI FEaTuRES but battEry SUcks Lol😎,tech
FaNs aRe dEBatINg if mANu DeservED the 🏆 TiTlE THiS sEaSOn oR nah??😎,sports
APple lAunCheS NEW aI MODel bUt ppL ComplAin abOuT DatA prIVaCY IsSues 🤔,tech
soFtwArE uPdAtE hAd bUgzzz AgaIn 😂 userS on tWiTTEr MAd,tech
crickET cOmmeNtARy fELt bIaSEd SMh bUt sTIll whatTA gAme BY dhONI,sports
LatEst SmArTPHoNe BY Google droPPED TodAY 🔥 WiTH AI feATuReS buT BaTtery suCKs lol,tech
rEsTauRAnT NeAr ToKYo sERvES PizZaAA 🍕 THAt taSTeS BeTter thAn DoMinoS Lol🙄,food
CRICKEt comMENTArY fELT BiAseD sMh bUT stIlL wHATta GamE BY dHOni🙄,sports
elecTioNS REsuLtS sHOWEd bJp WiNninG but MAnY PpL said coRRUpTioN!!,politics
CRICket comMEnTArY fElT biASed smH BUT stilL wHatTA gaMe BY DhONI,sports
CoMEDy SHoW oN tv felT scriptEd aF But crowd Still LaUghinG 😂,entertainment
AWARD cEReMONY Was BoRiNG smh oNly HIGHligHt wAS riHAnNA oUtfIT!!!,entertainment
NEw mOvIe sTaRring ToM cRuISE GOt miXED REVIEWS BuT boX OfFICE stIll huGE,entertainment
PpL Say govT sPEnDIng tOo much on HEaLtHCARe InSteaD of sPOrTS n hEaltHcAre SmH💯,politics
ThE foOTBAlL MatcH BEtwEen lakers aND chElsEa WaS iNTEnSe WITH FanS ShouTING loL 😂🔥😎???,sports
nEw moVIE StARriNg SRk Got MIXed REvIews But bOX ofFiCE StILl hUGe,entertainment
MADE cuRRY WITh PaneEr and It tUrNEd oUT fIrEEE 🔥🔥🔥,food
TRIEd ThE nEW idLi SaMBAR yEsteRdAy OmG It wAs SooO Good 💯 BUt A Bit TOo sPiCy💯,food
crickEt coMmENtaRY FElT BIAsed SMH BuT stILL wHATTA GaME by KoHli,sports
CRiCKeT COMmEnTaRy FELt BiAsed smH BUT StILl wHatTA gaME bY kohLi,sports
ThE PrIme mInISTer AnNoUncEd NEW POliCY aBOut jOBs But PPL aRguE It's Just fAkE pROmises 🤔???,politics
neTfLix sHoW AbOUT edUCATion tRENDiNg rN lol ppL BinGE waTcHiN ALl nIGHT 😂,entertainment
CODIng lifE is TOugh SMH iDk why this lAPToP sTILl CRasHES...,tech
CODInG lIFE is TOugH Smh iDk whY THIS laPtoP STiLl Crashes... 🤔,tech
NEw moVIe sTarRInG ToM CrUIsE GOT MixED reviEwS bUt BoX OFFicE sTILL Huge,entertainment
deBAtE In parLIAmeNT WAS noISy af LOl WiTH modI shOUtinG AgAIN,politics
SOFTwAre UpDAte Had BugzZZ AgAiN 😂 USERS on twITTEr mad....,tech
THE PRIME MINistEr anNOuNCED NEW PolICy About jobS BUt PPL ARgue iT'S juST fAKE pROmIses 🤔🔥,politics
soFTWarE UpDAtE had BUgZzz agaiN 😂 usErS on TWITter maD,tech
resTaURANt NEAR nYc seRves pizZaaA 🍕 ThAT TaSTEs bETtEr than dominoS LOl,food
the fOoTBaLL mATCH beTWeEN INDIA and auSTRaLIA wAs inTEnSe wITh FANS ShOUting LOL 😂🔥 😂,sports
dEbATINg iF bUrGer🍔 OR BIryANi is The true KINg oF FOOD fIGHT me 😂,food
DeBATe IN PaRliAmEnt Was NOisy Af LoL witH tRump shOUTing AGaiN???,politics
CrICKeT commeNtARY fELt BIaseD sMh BUt StIll whAtTA GamE By lEbRoN 😂,sports
nETFlIx Show AbouT SpORTs TREndINg rN LOl PPl biNgE wATcHiN aLL Night,entertainment
Ppl SAy gOVT sPeNdIng tOO muCH oN heaLtHcARe iNstEad of sPOrTS N hEaLthCARE SMH🙄,politics
aPpLE LaUncHeS neW AI ModEL BUt ppL COmpLAIn ABOUT DATA PrIvACY IssuES 🤔,tech
the prIme MiNisteR aNNoUNcEd neW PoLICY aBOUt joBs BuT Ppl aRGUE iT's jusT FAke pROMiSES 🤔,politics
coMedy SHow ON tv FElt sCrIPTED AF BuT crOwd stiLl LAugHing 😂!!!,entertainment
CodINg lIFE Is ToUGh sMh IDk wHy This LaPTOp StILl crASHES...,tech
fANs are debATing iF lAKerS dESerVED The 🏆 tItle thIS sEasON Or NAH??,sports
ELeCtIonS RESuLts sHOWed cOngResS wInniNG bUt ManY pPL sAid cOrrupTIon!!,politics
CRICKet ComMEntAry fElT BIasED SMH BUT stiLL WhAtta Game BY currY💯,sports
PPL SAY Govt SpENdInG TOo mUCH ON HEaLTHCare instEad OF sporTs n HEaLthcArE Smh 🤔,politics
CodInG Life IS tOuGH SMH Idk why this lapTOp STILl craSHEs...,tech
NEW movIE StarRinG dEEPika GOt MIxeD REVieWs BuT box offIcE StIll huGe😎,entertainment
CRiCkeT COmmeNTaRy felt biAseD sMh But sTilL wHATta gAmE bY rONaldo,sports
pPL SAY GoVt sPEndiNG TOo muCh ON HEAltHCArE InsTEAd OF SPorts N HEAlTHCARE SMH,politics
New Movie STArRiNg DEEpIka goT mIxed rEViews bUt box ofFICE stILl hUgE,entertainment
MESSI ScoReD a lAST MInUtE goAl!!! pPl wEnt CRazy In the STadiUM,sports
Made cURRy wItH mUShroOMs aNd IT tuRNED Out FIrEEE 🔥🔥🔥,food
MEssi SCoReD a lAST MiNuTe goAl!!! PPL WENT CRazY iN ThE stadium,sports
NEtFlIx sHOw aBouT eduCaTion trENDIng Rn loL PpL BInge wAtCHIn ALL NIghT,entertainment
fANs ARe DebaTIng iF lakERs DEserVEd thE 🏆 TITLe THIS sEAsOn OR NAh?? 😂,sports
ppL SAY gOVT spEnDiNG too muCH oN hEalthcAre iNSteAd oF SporTS n hEaltHcarE smH 🤔,politics
DeBaTing if BurGer🍔 OR biRyani iS THE truE KiNg of FooD FIght me 😂 🤔,food
made CURRy wItH TOfU AND iT tURneD OUt FiREEE 🔥🔥🔥,food
aWARd ceReMONY Was BORing SMH OnLY HIGhLIght was RihAnna OUtFIt,entertainment
latEST sMArtpHOnE by sAmsuNG dROPpEd todaY 🔥 wITH ai FeATuRES but baTTEry suCKS LOL😎,tech
coMEDY SHOw ON TV FELt sCRipted af BUT CrOwD sTIll LAUGHing 😂😎~~~,entertainment
tried THE neW TaCos yESteRdaY oMG IT WaS SOoo GOoD 💯 BUT A bIT TOo SPIcY,food
trIED ThE new burgEr yesTeRDAY omG it WAs sOOo gOOD 💯 BuT a bIt too spicy,food
DebAtIng IF Burger🍔 oR BIRyani IS The TRue kinG Of fOod FiGHT mE 😂💯,food
tHE PrIme mINisTEr AnNOuNCeD NEW POlICY AboUT hEALthcARe bUt pPl aRguE It'S JUST fAke PRomISeS 🤔,politics
TRIeD thE neW TACOS yEStErdAY oMG iT WAs SOOo Good 💯 buT A Bit ToO spicY,food
debatInG iF BUrgER🍔 or BIrYANI iS THE TrUe KinG oF fOOD fIGhT me 😂🙄,food
cOMEdY ShOW on Tv felT SCriPTeD aF BUt CROWD STiLL lauGhINg 😂,entertainment
tHE foOTBAll MatCh BeTWEeN inDIA and INdIA wAS INTENse wiTH fAns shOuTinG lOl 😂🔥,sports
NEW mOviE stArrInG ToM crUiSE goT mixeD rEViewS BUT Box OfFICE STiLL HUge😎,entertainment
COdING lIfe Is TOuGH smh idK WHy THIS LapToP StiLl crAShEs.......,tech
NETflix SHoW aboUT edUCatIoN Trending RN Lol PPL bInGE watcHIN aLL nIGHT,entertainment
rEstaURanT NEar DelHi seRvEs PIZZAAa 🍕 tHaT TAsTeS BEtTEr THAn dOMinoS lOL 🤔,food
eLEcTionS ReSUlTs ShOWed bJP WInNiNg But MaNy pPl SAId CoRrUptION!! 🤔,politics
CoDiNG life Is toUgh SMH idk whY THis LAPToP sTIlL CrAsHEs...🔥~~~,tech
THE fOoTbALl MATCH BeTWEeN INdia aND cHELSea WAS INTensE witH fanS shouTiNG LoL 😂🔥,sports
fans aRe DeBATiNg IF inDiA dEsERveD tHe 🏆 Title THiS SEasoN Or nah??!!!,sports
lATeST SMaRTPhone BY OPEnai DroppED tODaY 🔥 wiTH AI feAtURES bUt batterY suCks lol,tech
MAde curry wiTH cHICKeN AnD It tURNEd oUt Fireee 🔥🔥🔥,food
LATeST SMaRtPhOnE BY OPENAi DROPped tODAy 🔥 WiTh aI feATUreS BuT BaTTEry sUCKs Lol,tech
CodINg LiFe iS TougH Smh iDK WHy thIs lapTOp sTILL cRasHes...,tech
RonALDo SCOREd a LAst MInute goAl!!! Ppl WeNt cRaZy iN THE stADiUM 🤔....,sports
THe PrimE MiniSTer anNouncEd nEw pOlICY AbOUt JOBs But PpL argUe IT's just FaKe promiSes 🤔,politics
triED ThE neW BiryaNi yESTerdAy OMg IT wAs sOOO GOOd 💯 buT a bIt Too SpIcY,food
New mOvIE STaRRINg SrK gOT MiXed reviEWs BUt BOX OFFIce sTilL hUge,entertainment
MAde CuRry with ChIcKEN and IT TUrned Out fIrEeE 🔥🔥🔥🙄,food
eLEctIONs REsuLTS ShOweD REPuBliCAns winNiNG BUT maNy pPL saID CoRrUpTiOn!!,politics
CrickeT CoMmentARy feLT BiASEd sMh buT Still WhATtA gAMe By CuRRY,sports
latEst SmaRTpHonE by appLE DrOpPEd todAy 🔥 wItH ai featURES bUT BATTErY sUCkS LOl,tech
CRIcKET coMmeNTAry FeLt bIASed smh but STILl WHATta gAME bY ROnaLdO😎,sports
roNALdo SCoRed a lAst minuTE GOal!!! ppL WEnt CRazY in THE STadiuM🔥,sports
maDe cUrrY with chiCken AND iT turnED oUT FIreeE 🔥🔥🔥,food
debaTe IN PaRLiAMEnt waS noiSY af loL WITH TRuMp ShOuTiNG AgaiN,politics
dEbAte in PARLIaMEnT was noISY AF Lol WITh Modi sHoutINg AGAIN,politics
coDinG LifE IS TOuGh SMh iDk WhY ThiS LAPtop StiLl cRASHES...😎,tech
rEStauRant near LondoN SerVES pizZaAA 🍕 thaT tAsTES BeTtER thAn dOMInos lOl~~~,food
CriCKet cOmMENTary FElt biAseD SmH BUt stILl whatta gAmE BY mEsSi....,sports
NeW MoViE starRiNg EMMA waTson GoT mIXed REvieWs but boX OFFiCe STilL HugE,entertainment
TriEd ThE neW IdLI SamBAr YESTErdaY oMG it wAS soOO goOD 💯 BUt a BiT toO SpICY,food
SOFTwAre updATe hAd BUgzZZ AGAin 😂 UsERs on TwitTer mAd,tech
deBatING iF BuRger🍔 oR biryanI is tHe TrUE KiNg oF FoOD fIGHt me 😂~~~,food
ppl SAY GOVt spEnDinG TOO muCH oN ai inStEaD of SPorts n HealthCArE SmH???,politics
neW MovIE sTaRRinG EMMa wATsoN GOT mIXEd RevIEwS buT bOx OFfiCe StilL hUGE,entertainment
LAtESt SMaRTphonE by gOogLE DRoPPed ToDaY 🔥 with AI feAtures bUT bAttERY SUcks LOl😎~~~,tech
PPl Say GOVt SPeNDing Too Much on eduCAtioN iNSTeAD of spoRts N HeaLThcaRe SMh,politics
mICrOSOft laUncHEs New ai MoDeL bUt pPL cOMPLAIN ABouT DatA pRIvAcy ISsUeS 🤔,tech
REstAURanT nEAr loNdON SeRVEs piZZaaa 🍕 tHAt TAsTES BETTEr thAN DomInoS Lol,food
CoMeDy Show on tV feLT SCrIPTeD Af BUt CRowd STill laugHInG 😂,entertainment
